Date,open,high,low,close,volume,adj_close
2018-01-02,135.2586503172269,135.7873540028531,134.62421127267277,135.55824279785156,3061900,135.55824279785156
2018-01-03,134.8092399223808,136.5715673304729,134.8092399223808,136.18385314941406,2064200,136.18385314941406
2018-01-04,136.58040673189885,138.2193721505014,136.3777427963254,137.79641723632812,1777000,137.79641723632812
2018-01-05,137.99905876364454,138.97715108762517,137.57610391815058,138.93309020996094,1597600,138.93309020996094
2018-01-08,138.66875201150685,140.113860200605,138.20173624247164,140.04336547851562,2616900,140.04336547851562
2018-01-09,139.6644983704406,140.53685559811723,138.73927345238897,140.5104217529297,3204700,140.5104217529297
2018-01-10,140.0609981396196,140.2372282291666,138.98597711424094,140.01693725585938,1624100,140.01693725585938
2018-01-11,140.01691502781307,140.45749690448395,139.26793390476763,140.20196533203125,1809200,140.20196533203125
2018-01-12,140.5456650543807,141.55019152698088,139.7261889470868,141.0831756591797,2048800,141.0831756591797
2018-01-16,141.2065346225058,141.31227000265977,139.14461403652837,139.1886749267578,2858700,139.1886749267578
2018-01-17,140.19317224873035,141.40036240633992,139.9376272057881,141.1712646484375,2143100,141.1712646484375
2018-01-18,141.100803946906,141.93790710719242,140.8276452420701,141.81454467773438,1715500,141.81454467773438
2018-01-19,142.39609007197657,143.18913219516762,141.16245255807567,142.52825927734375,2246700,142.52825927734375
2018-01-22,142.0524179362338,142.64279605141158,141.7087646021604,142.2462615966797,1720000,142.2462615966797
2018-01-23,142.12290941079502,142.79260253229958,141.55015829471222,141.7616424560547,1635800,141.7616424560547
2018-01-24,142.04361335113734,142.7397403388755,141.46204196921542,141.51492309570312,1951900,141.51492309570312
2018-01-25,141.9731282399448,142.52826581895405,141.53254627450755,141.68234252929688,1327100,141.68234252929688
2018-01-26,142.08769940739953,143.25964917721157,141.27703011571296,143.23321533203125,1950700,143.23321533203125
2018-01-29,143.0393622977546,143.27728035673837,141.8409786481831,142.0348358154297,1314800,142.0348358154297
2018-01-30,141.8321532175098,142.00838331581335,140.2019945558393,140.7218780517578,1700000,140.7218780517578
2018-01-31,141.06551685994373,141.82331830521989,140.74829733760734,141.60302734375,1878300,141.60302734375
2018-02-01,141.12720394484026,141.9819339459067,140.58087322070418,141.3915557861328,1692600,141.3915557861328
2018-02-02,140.96857897476048,141.22412400263883,138.01668835361158,138.2545928955078,2183600,138.2545928955078
2018-02-05,137.56731207716808,140.34298659716896,132.81783890702783,133.78712463378906,3733700,133.78712463378906
2018-02-06,132.43006230415665,136.73895147022054,131.67226112311835,136.30718994140625,4259600,136.30718994140625
2018-02-07,135.8930942383445,140.04336857111898,134.879761157606,136.7125701904297,2918700,136.7125701904297
2018-02-08,136.8535514495917,136.9945408884483,132.50060000471743,132.62396240234375,2900900,132.62396240234375
2018-02-09,133.66374590776198,136.57158928771958,131.108362687893,135.55824279785156,3656800,135.55824279785156
2018-02-12,136.2896063828752,137.8757039474726,135.61110647695162,136.5363311767578,2273700,136.5363311767578
2018-02-13,135.87544939777746,138.33390382298828,135.6904125372514,138.20172119140625,2059500,138.20172119140625
2018-02-14,137.47036451228752,141.09194839758146,136.71256307937588,140.80116271972656,2583200,140.80116271972656
2018-02-15,141.32986416524497,141.9643031895483,139.32081173678196,141.9202423095703,1854900,141.9202423095703
2018-02-16,141.8321328538295,144.15840477572542,141.73520429685496,143.33010864257812,1997900,143.33010864257812
2018-02-20,143.08339261945227,143.38298510646254,141.9290701082412,142.25509643554688,1425700,142.25509643554688
2018-02-21,142.38726178312783,144.29938570387128,141.35630170303077,141.3915557861328,1628600,141.3915557861328
2018-02-22,141.93785280067874,142.7485218048771,140.90689286776913,141.26817321777344,1511700,141.26817321777344
2018-02-23,141.95550251742017,143.67376934676645,141.26819578568166,143.5856475830078,1577200,143.5856475830078
2018-02-26,144.3522945913386,145.2422654011791,143.5592389149351,145.1629638671875,1782800,145.1629638671875
2018-02-27,145.21583439352986,145.9031412592097,143.23321533203125,143.23321533203125,1820800,143.23321533203125
2018-02-28,143.54158936575084,144.85452837536417,141.82332250450764,141.87619018554688,2002200,141.87619018554688
2018-03-01,142.11409399653866,142.38725261827807,137.35581494151532,137.59371948242188,3005400,137.59371948242188
2018-03-02,136.76543554732547,138.897850271137,136.3072266192072,138.78329467773438,2960100,138.78329467773438
2018-03-05,138.49249265428932,140.68659503698757,138.3338896472341,139.9728546142578,1936800,139.9728546142578
2018-03-06,140.25480056685942,141.118337080672,138.32505024208814,139.25027465820312,2352500,139.25027465820312
2018-03-07,138.32509295750478,140.06980700512193,137.9197651290229,139.70852661132812,3176200,139.70852661132812
2018-03-08,140.113817300483,140.47509759851388,139.25908754440465,139.6644287109375,3093200,139.6644287109375
2018-03-09,140.6777769512165,142.59872077643337,140.29007622397594,142.31674194335938,2988000,142.31674194335938
2018-03-12,142.748546220286,143.42704616150334,141.885009396778,142.4753875732422,2105000,142.4753875732422
2018-03-13,142.85427335593337,144.7752174638955,142.80140567832305,143.18031311035156,2742200,143.18031311035156
2018-03-14,143.41821404003323,143.80592826004747,141.35629399231294,141.86737060546875,2214800,141.86737060546875
2018-03-15,142.12289882205013,144.0614698761917,141.77043869156557,143.50633239746094,1840300,143.50633239746094
2018-03-16,143.2860342048408,143.88521908544666,141.7616247216604,141.7704315185547,4018600,141.7704315185547
2018-03-19,141.4796945653164,142.30799090514586,140.43110721789384,141.53256225585938,1890000,141.53256225585938
2018-03-20,141.8233032649769,143.76186083123088,141.8233032649769,143.52395629882812,2249400,143.52395629882812
2018-03-21,143.80590799872172,144.26411687104283,142.68682637507794,142.7749481201172,3452600,142.7749481201172
2018-03-22,138.12238741602357,139.17097419904067,131.93661548758345,132.377197265625,8203600,132.377197265625
2018-03-23,133.34655233922277,134.3510787810327,129.67210000087871,129.8395233154297,4039800,129.8395233154297
2018-03-26,131.2934265518692,134.967878553989,131.2934265518692,134.6859130859375,4231000,134.6859130859375
2018-03-27,135.0207254528499,135.39963287890896,130.23601246759802,131.1700439453125,3212000,131.1700439453125
2018-03-28,131.8925657446332,132.48295720903326,129.83064607641174,129.892333984375,2965700,129.892333984375
2018-03-29,130.66778213314026,135.25865173339844,130.25364749117205,135.25865173339844,3595900,135.25865173339844
2018-04-02,133.77828655171584,133.77828655171584,129.0904889628467,130.3946075439453,2845800,130.3946075439453
2018-04-03,130.8440295120533,131.2669844101368,128.6939874914303,131.10836791992188,2363300,131.10836791992188
2018-04-04,129.25796099497728,132.59756694082802,128.70282332223948,132.14817810058594,2161100,132.14817810058594
2018-04-05,133.14385061097565,133.99858054085587,132.1833718860898,133.55799865722656,3336300,133.55799865722656
2018-04-06,132.08645956489627,132.87069487630504,128.81734911612807,129.86593627929688,1927200,129.86593627929688
2018-04-09,130.64134463972238,132.5534685380116,130.4210536821477,130.63253784179688,1465800,130.63253784179688
2018-04-10,132.1657617741445,134.58896219795847,132.03357913827736,133.98095703125,2257400,133.98095703125
2018-04-11,132.80754907362038,133.22535170235705,131.70527283111485,131.91860961914062,1734900,131.91860961914062
2018-04-12,132.61199073858418,134.34543364939708,132.38975585916103,133.42092895507812,2005600,133.42092895507812
2018-04-13,134.22988559719968,134.59435410487765,132.86092452025886,133.45651245117188,1607800,133.45651245117188
2018-04-16,134.6298775476981,135.1632466455647,133.7676051924929,134.60321044921875,2151600,134.60321044921875
2018-04-17,135.69660703722462,137.42115180937364,135.1899185838376,137.1100311279297,2702300,137.1100311279297
2018-04-18,137.20777597750714,138.40783580303577,136.30993867153367,138.24783325195312,1975700,138.24783325195312
2018-04-19,137.785610998094,137.97229424573203,136.55887024997352,137.421142578125,1512900,137.421142578125
2018-04-20,136.91445412615158,137.56337610886771,135.03879139560726,135.48326110839844,2302000,135.48326110839844
2018-04-23,136.21217457474083,136.41664039408045,135.21656683031156,136.04327392578125,1533000,136.04327392578125
2018-04-24,136.51447880841684,137.1989526241125,133.20762197706424,134.29212951660156,1922600,134.29212951660156
2018-04-25,134.67433693041832,134.67433693041832,131.94528610031475,133.42092895507812,2040200,133.42092895507812
2018-04-26,134.16761356087946,136.12329104014796,133.87427550312762,135.37657165527344,1634600,135.37657165527344
2018-04-27,135.37656999814996,135.9810558200167,134.39874483462353,135.46546936035156,1179500,135.46546936035156
2018-04-30,136.15886576242343,136.2388670644829,134.3898712200892,134.40765380859375,1504700,134.40765380859375
2018-05-01,134.30990784849814,135.07439660040504,133.44763517841207,135.0477294921875,1204800,135.0477294921875
2018-05-02,134.8699311393153,135.1988344847903,133.70542231319686,133.97210693359375,1642100,133.97210693359375
2018-05-03,133.6076223426732,135.15436853957286,132.57644916864567,134.87879943847656,1725000,134.87879943847656
2018-05-04,133.972063963552,136.86111703557657,133.6520452345468,136.39886474609375,1504100,136.39886474609375
2018-05-07,135.96327268887276,136.07883914644322,134.9765494546048,135.38546752929688,2057000,135.38546752929688
2018-05-08,134.5409739931929,135.56324880442358,134.25650689475157,135.06544494628906,1770100,135.06544494628906
2018-05-09,135.91882289628447,137.7678183952017,135.29656805629747,137.4477996826172,1515300,137.4477996826172
2018-05-10,137.77672627663657,139.56348963666554,137.27890880507474,139.15457153320312,1299400,139.15457153320312
2018-05-11,139.15456292290872,140.11461906959357,138.51453905592382,139.6345977783203,1211600,139.6345977783203
2018-05-14,139.84795661316593,140.14129468647295,138.06117969091562,138.2923126220703,1636700,138.2923126220703
2018-05-15,137.54559781148802,137.6078300840062,136.34553768801385,136.9589080810547,1774500,136.9589080810547
2018-05-16,137.34118752950525,137.83010709114453,136.59448141580728,136.96783447265625,1946900,136.96783447265625
2018-05-17,137.26116511084234,138.42567380147366,136.73669400903984,137.72340393066406,1615300,137.72340393066406
2018-05-18,137.78563390538156,138.61234119802594,137.44783252689473,138.0612030029297,1517400,138.0612030029297
2018-05-21,138.69232450087028,139.93683419496932,138.69232450087028,139.51014709472656,1653000,139.51014709472656
2018-05-22,139.53683978589152,139.9457443757556,137.91896332265833,138.0789794921875,1757100,138.0789794921875
2018-05-23,138.0434204134984,138.72790768311702,136.976695638027,138.0612030029297,1738000,138.0612030029297
2018-05-24,138.52348531455195,138.7190531481344,137.51009452423563,138.3101348876953,1911100,138.3101348876953
2018-05-25,138.13229559648846,139.10123630654698,137.83005944981429,138.66566467285156,1314900,138.66566467285156
2018-05-29,137.7500376555012,137.99893957032145,135.70547458593174,136.48773193359375,2047300,136.48773193359375
2018-05-30,137.60784109307878,139.15458718451993,137.3678236235259,138.70123291015625,1577800,138.70123291015625
2018-05-31,138.67453975999985,139.3679113736688,137.7055991157879,138.44342041015625,2767100,138.44342041015625
2018-06-01,139.51016206151385,141.59027715800974,139.17236072367373,141.24359130859375,1808800,141.24359130859375
2018-06-04,141.03020027848953,142.23027363796422,140.50572939984215,141.72357177734375,1481800,141.72357177734375
2018-06-05,141.4836058486625,142.5503304738085,141.38582196678266,142.15919494628906,1756500,142.15919494628906
2018-06-06,142.7370284474881,144.67491013388553,142.37255998069708,144.6393585205078,1771300,144.6393585205078
2018-06-07,144.66601314645467,144.76379702998727,141.87474377414398,142.77256774902344,1841800,142.77256774902344
2018-06-08,142.8614880645732,144.3015658657695,142.77258867955095,144.15933227539062,1725200,144.15933227539062
2018-06-11,143.5904041648672,145.45718264212394,143.5904041648672,144.67491149902344,1978400,144.67491149902344
2018-06-12,145.2882365416689,145.79492487250587,144.40818178077927,144.75486755371094,2881300,144.75486755371094
2018-06-13,144.9771509674164,146.00832412224293,144.55046377250733,144.91493225097656,2357600,144.91493225097656
2018-06-14,145.1904635295196,145.74160157789606,144.13262354830323,144.6837615966797,1914400,144.6837615966797
2018-06-15,143.86591650342373,145.5193439537462,142.79919217898825,145.3237762451172,8561500,145.3237762451172
2018-06-18,144.00816487585746,144.87932158146907,142.9947746285558,144.79043579101562,1789800,144.79043579101562
2018-06-19,144.11482856681053,145.19933554971442,143.38590542657653,145.17266845703125,2574400,145.17266845703125
2018-06-20,144.89710245252698,145.22600564517762,143.70592707426104,143.8037109375,2026800,143.8037109375
2018-06-21,143.44816421193343,143.94596816665936,141.90141814748367,142.25698852539062,2034200,142.25698852539062
2018-06-22,142.67475528393985,142.67475528393985,140.84354252656988,141.90138244628906,3623900,141.90138244628906
2018-06-25,140.4435485403647,140.50576724849077,138.09674893573614,138.81678771972656,3134500,138.81678771972656
2018-06-26,139.14568949472132,140.08796313110722,138.81678624235929,139.4390411376953,2164000,139.4390411376953
2018-06-27,139.7057365249965,141.07469740097926,138.05230849527473,138.08786010742188,3191900,138.08786010742188
2018-06-28,142.66591748482855,147.17283408335865,141.9636476236257,146.23056030273438,5801100,146.23056030273438
2018-06-29,145.9549847484355,147.17282757358493,144.9238116301348,145.42161560058594,3370000,145.42161560058594
2018-07-02,143.919332105627,145.27052424853807,143.38597642373767,145.10162353515625,2279400,145.10162353515625
2018-07-03,145.70610397610912,147.04839798929171,144.9149482155729,145.19940185546875,1919100,145.19940185546875
2018-07-05,145.51939924450036,146.54168784878163,145.0393778635656,146.4972381591797,2427900,146.4972381591797
2018-07-06,146.4705585997938,146.82612895808364,144.9060164693833,146.2394256591797,1840400,146.2394256591797
2018-07-09,146.67499854879395,147.79505729098577,146.67499854879395,147.67950439453125,1651600,147.67950439453125
2018-07-10,148.00842148356014,149.13737840634886,147.86618791322744,147.97286987304688,2071000,147.97286987304688
2018-07-11,147.0305851301342,148.54179310324096,146.328328906463,147.8395233154297,1307100,147.8395233154297
2018-07-12,148.91517592905245,149.47519869231803,148.43514091580445,149.3685302734375,1717000,149.3685302734375
2018-07-13,149.1195930653618,149.78629765432763,149.01292467165194,149.4218292236328,1420300,149.4218292236328
2018-07-16,149.47512842325304,149.759595492062,148.79065497168722,149.0217742919922,1522800,149.0217742919922
2018-07-17,148.52399783783017,150.18631018938706,148.45288105753107,149.404052734375,2315300,149.404052734375
2018-07-18,148.87067403457655,148.87067403457655,147.53726500953226,147.9017333984375,2206500,147.9017333984375
2018-07-19,147.7506150342766,148.69288857311756,147.12834663921888,148.35508728027344,2055100,148.35508728027344
2018-07-20,148.08841804826534,148.44400196273472,147.84841416565533,148.0261993408203,1110200,148.0261993408203
2018-07-23,147.5017159440244,147.96396825446766,147.12836300394545,147.5283966064453,1783300,147.5283966064453
2018-07-24,147.8573298392925,148.02623053874547,146.06166799415283,146.82615661621094,2545500,146.82615661621094
2018-07-25,146.6750214959147,148.55956894673116,146.6750214959147,148.52401733398438,2285200,148.52401733398438
2018-07-26,148.80848818716746,149.43964129078495,146.7283727146404,146.82615661621094,2228000,146.82615661621094
2018-07-27,146.99502490417004,147.3417107398158,143.21703232109783,144.02597045898438,2704000,144.02597045898438
2018-07-30,144.2215218433458,144.38152441202743,140.5235309735872,141.71470642089844,2553200,141.71470642089844
2018-07-31,142.49702287716516,143.38596249141554,141.24361476567802,141.63475036621094,2722700,141.63475036621094
2018-08-01,142.50588974370706,143.46594603591072,141.42138246348478,141.9725341796875,2060600,141.9725341796875
2018-08-02,140.71914778232912,142.49702706305558,140.31022957953934,142.36367797851562,1774700,142.36367797851562
2018-08-03,142.66590132103792,143.06592137222685,141.30582500851156,142.55921936035156,1478500,142.55921936035156
2018-08-06,142.4703567911977,143.12816342938922,141.85698628272235,142.7459259033203,1135800,142.7459259033203
2018-08-07,143.2792602589488,143.92819585179498,143.1192576617912,143.2970428466797,1415700,143.2970428466797
2018-08-08,143.20814651140836,143.69705234288514,143.03034777544684,143.2436981201172,1123400,143.2436981201172
2018-08-09,143.2348100431549,143.77706362040428,142.710325487748,142.79922485351562,1722100,142.79922485351562
2018-08-10,142.27477042652805,143.53706289538513,142.12365233844028,142.8347930908203,1354200,142.8347930908203
2018-08-13,142.87925372189622,143.91931139425668,142.27478132324902,142.43478393554688,1590100,142.43478393554688
2018-08-14,142.31035281171057,143.67932754076435,142.13256758517127,143.3326416015625,2083200,143.3326416015625
2018-08-15,142.7281383692598,143.51040954881591,142.0169839845853,142.5948028564453,1669400,142.5948028564453
2018-08-16,143.83039101898777,145.119350376889,143.5725910089246,144.79933166503906,1957000,144.79933166503906
2018-08-17,145.31493234562336,146.82612669123333,144.9504639173125,146.5772247314453,2717500,146.5772247314453
2018-08-20,146.97721445145658,147.24389894311574,146.49719321777943,146.78164672851562,1285800,146.78164672851562
