Date,close_low,high_low,low_low,open_low,volume_low
2018-01-02,78.32250213623047,79.895445956192,78.23701067125089,79.51930438094769,6572600
2018-01-03,78.66441345214844,78.72425354273804,77.93778191725156,78.43360353761157,4572000
2018-01-04,79.27993774414062,79.34832830195312,78.28830074418971,78.8097673338655,3542800
2018-01-05,80.9896469116211,81.0409430811125,80.15188556754322,80.35705067926496,5524200
2018-01-08,80.10916137695312,81.32306452050642,80.07496609546222,80.68191766723886,6191600
2018-01-09,80.82723999023438,81.14353489416746,79.98092154491589,80.63061877469349,4112200
2018-01-10,80.50238037109375,81.06659261370336,80.22882469888107,80.75029121811176,2778000
2018-01-11,81.84452056884766,81.87871584591784,80.36561233753496,80.81868834507101,3172600
2018-01-12,86.2214126586914,87.43531556726083,81.7504799309929,82.07533178123104,14247600
2018-01-16,86.31546783447266,90.27347886913184,85.5631846588931,86.76854391681036,13570400
2018-01-17,86.92239379882812,87.44386029284233,85.96494573134207,86.56335321930136,5296100
2018-01-18,86.64884948730469,87.30709063597313,86.17867257962564,87.21305525443731,5956600
2018-01-19,89.71782684326172,90.05977318608575,87.59777125750398,89.1450704692298,9558300
2018-01-22,91.56431579589844,91.79512578328234,90.05975608639464,91.47028040642428,7084300
2018-01-23,91.91616821289062,92.94594247039282,91.09234749745984,91.82177147545266,6118200
2018-01-24,91.5814971923828,92.37099127748893,90.87781654311075,92.15645441433104,4127500
2018-01-25,91.28970336914062,93.52089148792273,91.05800648915783,93.48656481178747,4864800
2018-01-26,92.1650161743164,92.1650161743164,90.56027845610303,91.51282242959547,4017200
2018-01-29,91.6844711303711,93.00601899933464,91.547170941816,92.67992532276396,3787300
2018-01-30,90.25993347167967,91.08375409580944,89.78794983679812,90.7147504941232,6360800
2018-01-31,89.87377166748047,91.1352427277617,89.71072158166112,90.68042569589136,7082200
2018-02-01,89.12716674804688,90.1741073564758,88.60369644383242,89.11000013802548,4922900
2018-02-02,87.10194396972656,89.12717195919811,86.80159374822523,89.11858865368555,6247900
2018-02-05,83.73802185058594,88.48357575430705,83.27462148560076,86.99897792497612,8339800
2018-02-06,86.0035400390625,86.60424064604805,81.36095910812571,81.7728727723055,9031200
2018-02-07,85.7460708618164,87.8056255523452,85.60018740196969,85.81472421250093,5257300
2018-02-08,81.53256225585938,85.9091113953894,81.42958224126528,85.74606134240122,7673100
2018-02-09,83.38619995117188,84.23577078127734,79.38723557659176,82.5452189773348,9667800
2018-02-12,83.90962982177734,84.95657042404079,83.38615952064562,84.31296004204049,8067600
2018-02-13,82.43363189697266,83.76376290108652,81.41244100809254,83.20596581719539,5541700
2018-02-14,83.18022155761719,83.58355185316398,81.00910984463005,81.60122705453452,8395800
2018-02-15,82.8198013305664,84.26148911867304,82.05605072437574,84.2529058121022,5729300
2018-02-16,82.64815521240234,83.81523593488824,82.20192154657825,82.79404521307077,5331500
2018-02-20,82.08175659179688,83.82379384245817,81.89296321637005,82.85409015166044,6648700
2018-02-21,81.81576538085938,83.41191997903508,81.71279188881238,82.38214577569676,4248700
2018-02-22,83.14591217041016,83.3947757353154,82.15046445793513,82.39932147569442,4461200
2018-02-23,83.66077423095703,83.77233756451147,82.91419030772455,83.52347407438599,4358200
2018-02-26,83.6779556274414,84.08128595693822,82.99143508185387,84.0297926603748,4733600
2018-02-27,82.20191955566406,84.45026753511631,81.93589602366255,83.7723304739783,8503300
2018-02-28,76.88140869140625,79.13834014046341,74.44427365333814,75.00207067313777,34109800
2018-03-01,75.48265075683594,76.97582552304328,74.75322671597948,76.86426870879556,15153400
2018-03-02,73.2342758178711,74.95057014551347,73.01116226922075,74.55582323581291,12476800
2018-03-05,74.08387756347656,74.67599490493735,72.98544977666377,72.99402653798703,8324600
2018-03-06,74.76178741455078,74.83043421563399,74.0495236577704,74.22973378650813,6359000
2018-03-07,73.89507293701172,74.49577349652168,73.3801858078396,74.22116659115355,6417100
2018-03-08,73.93797302246094,74.4957635185187,73.33726599626493,74.17825321408166,4711800
2018-03-09,74.89909362792969,74.9420036108315,73.99804291128898,74.44427661660474,6370400
2018-03-12,75.24236297607422,75.56845662539072,74.66740579945898,74.87335933865123,5797500
2018-03-13,73.92081451416016,75.53412922558029,73.71486097692768,75.28527224779452,5792000
2018-03-14,74.12677001953125,74.59017040096676,73.16564912216434,74.43570360715492,7045600
2018-03-15,73.40591430664062,74.3584582487929,73.191377500699,74.272644835845,4737800
2018-03-16,74.65882110595703,74.95058806879906,73.3973434259339,73.3973434259339,8772400
2018-03-19,73.6204605102539,74.67597806382327,73.19997015013287,74.32414106168167,6767000
