date,equity
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100000.0
2018-02-02,100000.0
2018-02-05,100000.0
2018-02-06,100000.0
2018-02-07,100000.0
2018-02-08,100000.0
2018-02-09,100000.0
2018-02-12,100000.0
2018-02-13,100000.0
2018-02-14,100000.0
2018-02-15,100000.0
2018-02-16,100000.0
2018-02-20,100000.0
2018-02-21,100000.0
2018-02-22,100000.0
2018-02-23,100000.0
2018-02-26,100000.0
2018-02-27,100000.0
2018-02-28,100000.0
2018-03-01,100000.0
2018-03-02,100000.0
2018-03-05,100000.0
2018-03-06,100000.0
2018-03-07,100000.0
2018-03-08,100000.0
2018-03-09,100000.0
2018-03-12,100000.0
2018-03-13,100000.0
2018-03-14,100000.0
2018-03-15,100000.0
2018-03-16,100000.0
2018-03-19,100000.0
2018-03-20,100000.0
2018-03-21,100000.0
2018-03-22,100000.0
2018-03-23,100000.0
2018-03-26,100000.0
2018-03-27,100000.0
2018-03-28,100000.0
2018-03-29,100000.0
2018-04-02,100000.0
2018-04-03,100000.0
2018-04-04,100000.0
2018-04-05,98814.62934170476
2018-04-06,96805.39675367945
2018-04-09,97110.50142692369
2018-04-10,99600.59908335742
2018-04-11,100112.05002929803
2018-04-12,101737.76889709852
2018-04-13,101042.89142029031
2018-04-16,101015.44886537633
2018-04-17,106369.6918689047
2018-04-18,106220.21449328294
2018-04-19,104440.125833472
2018-04-20,102217.49948078937
2018-04-23,100709.1603193614
2018-04-24,95698.4649080954
2018-04-25,94994.67755973824
2018-04-26,97809.90612299855
2018-04-27,97258.45967909375
2018-04-30,96480.22094880925
2018-05-01,97261.0104649472
2018-05-02,96545.7249342009
2018-05-03,97592.19790775306
2018-05-04,99334.92034867665
2018-05-07,100762.17432061842
2018-05-08,101752.70042131067
2018-05-09,103489.48698900353
2018-05-10,103743.89226306687
2018-05-11,103502.66491162115
2018-05-14,102916.56891938386
2018-05-15,102161.04299304257
2018-05-16,102630.61847967707
2018-05-17,102292.68628197766
2018-05-18,101299.27053291965
2018-05-21,102037.81022267079
2018-05-22,102294.29279520665
2018-05-23,102952.36837039293
2018-05-24,102312.708316857
2018-05-25,102094.41818777654
2018-05-29,101571.04985221196
2018-05-30,103289.26990827911
2018-05-31,103496.16077327491
2018-06-01,105016.44636215268
2018-06-04,105966.83025992711
2018-06-05,105804.03613502881
2018-06-06,108418.98524020815
2018-06-07,104661.84638879105
2018-06-08,103368.33867632672
2018-06-11,103859.38083178233
2018-06-12,104052.30727308804
2018-06-13,107353.12741356548
2018-06-14,109159.54666060297
2018-06-15,109326.10110849347
2018-06-18,111434.35977647793
2018-06-19,112471.20066963918
2018-06-20,113790.57396105543
2018-06-21,111993.15050598595
2018-06-22,111322.60132658572
2018-06-25,107059.6767094052
2018-06-26,107850.5094003643
2018-06-27,103511.5067540585
2018-06-28,104024.71110044289
2018-06-29,101863.96802648071
2018-07-02,103412.2956645403
2018-07-03,101809.16401260025
2018-07-05,104408.9971296579
2018-07-06,108347.98017057967
2018-07-09,110691.36632730326
2018-07-10,110013.10149321449
2018-07-11,109695.02529544414
2018-07-12,109735.53182204685
2018-07-13,106208.3529251909
2018-07-16,106762.67708861182
2018-07-17,113156.30390098138
2018-07-18,113065.67962061905
2018-07-19,112286.1565151087
2018-07-20,112392.10120180325
2018-07-23,111638.23570710063
2018-07-24,111463.49820962001
2018-07-25,111700.63245730186
2018-07-26,99618.29306599434
2018-07-27,100193.77125742607
2018-07-30,100392.64566099318
2018-07-31,100677.61357461261
2018-08-01,101165.28904671653
2018-08-02,102206.99538233089
2018-08-03,102295.08701743776
2018-08-06,104376.71346745954
2018-08-07,104300.21308817486
2018-08-08,104183.23965927119
2018-08-09,100645.25819276093
2018-08-10,99859.71175905337
2018-08-13,100578.23914392629
2018-08-14,99808.8340352526
2018-08-15,98008.56151176596
2018-08-16,96925.24659959172
2018-08-17,96100.14308689676
2018-08-20,96108.26305139349
2018-08-21,95388.70383136944
2018-08-22,95809.06646510636
2018-08-23,96928.1588884993
2018-08-24,98974.8889910654
2018-08-27,98640.96630179943
2018-08-28,98591.59213985223
2018-08-29,98335.00208186073
2018-08-30,97759.72532062726
2018-08-31,98424.47350644977
2018-09-04,102384.00245085698
2018-09-05,101303.76191380697
2018-09-06,100500.11207648496
2018-09-07,101458.62194960497
2018-09-10,103660.21390718775
2018-09-11,104511.0676634356
2018-09-12,105915.7633846398
2018-09-13,107313.1659088261
2018-09-14,108661.1694189921
2018-09-17,107389.55684598375
2018-09-18,108441.31280887895
2018-09-19,107181.99545814353
2018-09-20,106757.67167577098
2018-09-21,105695.98300747332
2018-09-24,107220.43076200056
2018-09-25,106366.65706368284
2018-09-26,104988.939564307
2018-09-27,104224.61898791212
2018-09-28,103199.09347522975
2018-10-01,103509.11997357955
2018-10-02,102516.11673052085
2018-10-03,101807.13185719124
2018-10-04,101303.35890469956
2018-10-05,99689.45138541599
2018-10-08,98675.1727743251
2018-10-09,98985.17996862152
2018-10-10,92476.40941388992
2018-10-11,89434.23932173155
