symbol,exec_price,shares,commission,slippage,side,value,date,reason
ADBE,228.05397244262693,261.04462075390785,59.5322627477077,0.1139700012206788,buy,59532.2627477077,2018-04-05,
NFLX,29.329658034324645,1381.4595862275032,40.51773725229229,0.014657500267027501,buy,40517.73725229229,2018-04-05,
ADBE,222.00094438934326,4.12007525758446,0.9146605981389169,0.11094499969482285,buy,914.6605981389168,2018-04-06,
NFLX,28.924454847335813,1.3572701045452504,0.03925829785455785,0.014454999923703582,buy,39.25829785455785,2018-04-06,
ADBE,219.96996183013917,-3.885004339426473,0.8545842562535664,-0.11004000091551802,sell,854.5842562535663,2018-04-09,
NFLX,29.162411545753482,-35.763983507199555,1.0429640055524936,-0.014588500022885142,sell,1042.9640055524935,2018-04-09,
ADBE,222.49869561004644,-2.2260448890714315,0.49529208418780407,-0.11130500030515122,sell,495.29208418780405,2018-04-10,
NFLX,29.75311564922333,-22.053899986272654,0.6561722368079751,-0.014883999824522931,sell,656.1722368079751,2018-04-10,
ADBE,223.04145767211912,5.845715376241685,1.303836878653266,0.11146499633787244,buy,1303.8368786532658,2018-04-11,
NFLX,30.303144106864927,13.702363479141923,0.4152246951130808,0.015144000053403772,buy,415.22469511308077,2018-04-11,
ADBE,225.60714122009279,-2.155173729938781,0.48622258404413266,-0.11286000061033974,sell,486.22258404413265,2018-04-12,
NFLX,30.956514122009278,-21.207104899745673,0.656498042315909,-0.015486000061034844,sell,656.4980423159091,2018-04-12,
ADBE,228.73558110046386,-262.7441884292973,60.098944621145094,-0.11442500305173553,sell,60098.94462114509,2018-04-13,
NFLX,31.744864591598507,181.76882701514955,5.770226800569615,0.015864500045775998,buy,5770.226800569615,2018-04-13,
INTC,44.868280154145495,1207.862989582287,54.19473500440177,0.022422928612762405,buy,54194.73500440177,2018-04-13,
NFLX,31.58320143032074,-1.6783170850985698,0.053006626562616885,-0.015799500465391247,sell,53.00662656261689,2018-04-16,
INTC,44.21715467980979,7.673616709958424,0.3393054970178047,0.02209752857561398,buy,339.3054970178047,2018-04-16,
NFLX,32.94951660346985,-63.745141618955586,2.100371602164314,-0.016482999801631593,sell,2100.371602164314,2018-04-17,
INTC,44.69672527439406,-13.64498865882274,0.6098863094556227,-0.022359542408395328,sell,609.8863094556227,2018-04-17,
NFLX,33.646816068649294,1.8965622412904395,0.06381328089544468,0.016815000534059266,buy,63.81328089544468,2018-04-18,
INTC,45.257257064540575,82.21020203800299,3.7206082469617185,0.02261731987233162,buy,3720.6082469617186,2018-04-18,
